location,name,Alc,latitude,longitude,image,links
경상북도,아이스 375,12%,35.9833282,128.9987632,https://thesool.com/wp-content/uploads/2019/01/고도리_아이스_375.jpg,http://고도리와인.com
경상북도,안동소주,45%,36.5496354,128.7088615,https://thesool.com/wp-content/uploads/2017/12/124-1.jpg,www.andongsoju.com
경상북도,오미로제 스파클링 와인,12%,36.772167,128.3140443,https://thesool.com/wp-content/uploads/2017/12/SOW750_thumb.jpg,https://mgomijasul.modoo.at/
경상북도,오희 스파클링 막걸리,9%,36.772167,128.3140443,https://thesool.com/wp-content/uploads/2019/04/문경주조_오희스파클링막걸리.jpg,https://mgomijasul.modoo.at/
경상북도,왕피천을 품은 미소생막걸리,7%,36.9629258,129.3954316,https://thesool.com/wp-content/uploads/2018/12/울진술도가_왕피천.jpg,http://www.uljinsuldoga.com/index.php
경상북도,은자골 생 탁배기,5%,36.5311223,128.0701304,https://thesool.com/wp-content/uploads/2017/12/2.png,https://takbaeki.modoo.at/
경상북도,징기스칸,40%,35.9833282,128.9987632,https://thesool.com/wp-content/uploads/2020/01/고도리_징기스칸.jpg,http://고도리와인.com
경상북도,포항불로주,"35%, 45%",36.1663927,129.346015,https://thesool.com/wp-content/uploads/2017/12/125.jpg,
경상북도,풍정사계 춘,15%,35.6516236,128.7085147,https://thesool.com/wp-content/uploads/2017/12/풍정사계.jpg,https://pjsg.modoo.at/
경상북도,프리미엄 애플와인 한스오차드,11%,36.4370944,128.7231036,https://thesool.com/wp-content/uploads/2017/12/1-26.jpg,http://www.applewine.co.kr/
경상북도,한스오차드 사과와인,11%,36.4370944,128.7231036,https://thesool.com/wp-content/uploads/2019/01/애플리즈_사과와인.jpg,http://www.applewine.co.kr/
대전광역시,사임주,16%,36.3552778,127.3772222,https://thesool.com/wp-content/uploads/2017/12/사임주.jpg,https://sariwon1951.modoo.at/
대전광역시,석로주,13%,36.3527541,127.3890377,https://thesool.com/wp-content/uploads/2019/04/석이원주조_석로주.jpg,seokyeewon.modoo.at
부산광역시,금정산성막걸리,8%,35.2504164,129.0564792,https://thesool.com/wp-content/uploads/2018/10/금정산성.jpg,http://www.sanmak.kr/
서울특별시,11.5도 나루 생 막걸리,12%,37.5357562,127.0556902,https://thesool.com/wp-content/uploads/2020/02/나루생막걸리-11.5.png,https://hangangbrewery.com/
서울특별시,6도 나루 생 막걸리,6%,37.5357562,127.0556902,https://thesool.com/wp-content/uploads/2020/02/나루생63도.png,https://hangangbrewery.com/
서울특별시,걍즐겨,8%,37.6438594,127.0157688,https://thesool.com/wp-content/uploads/2020/02/걍즐겨-1.png,
서울특별시,매실원주,15%,37.5852836,126.9069539,https://thesool.com/wp-content/uploads/2018/10/매실원주.jpg,thehan.modoo.at
서울특별시,문경바람 오크,40%,37.5852836,126.9069539,https://thesool.com/wp-content/uploads/2020/01/오미나라_문경바람오크.jpg,http://www.omynara.com/
서울특별시,삼해소주,45%,37.583241,126.9879962,https://thesool.com/wp-content/uploads/2020/02/삼해소주.png,https://samhaesoju.kr/
서울특별시,서울의 밤 X 옥토끼프로젝트,17%,37.5852836,126.9069539,https://thesool.com/wp-content/uploads/2020/02/그림7-1.png,http://www.thehan.kr
서울특별시,원매,20%,37.5852836,126.9069539,https://thesool.com/wp-content/uploads/2020/02/원매_더한주류.jpg,https://www.thehan.kr/
서울특별시,천매,30%,37.5852836,126.9069539,https://thesool.com/wp-content/uploads/2018/10/39_천매.jpg,thehan.modoo.at
울산광역시,복순도가 손 막걸리,7%,35.5857641,129.0968608,https://thesool.com/wp-content/uploads/2018/12/복순도가_손막걸리.jpg,http://www.boksoon.com/
인천광역시,삼양춘 생약주,15%,37.3892304,126.7006754,https://thesool.com/wp-content/uploads/2019/03/삼양춘생약주.jpg,www.samyangchoon.com
인천광역시,삼양춘 생탁주,13%,37.3892304,126.7006754,https://thesool.com/wp-content/uploads/2019/03/삼양춘.jpg,www.samyangchoon.com
전라남도,광양 생 막걸리,5%,34.9655353,127.5682078,https://thesool.com/wp-content/uploads/2020/02/광양생막걸리.jpg,
전라남도,광양 생 막걸리 골드,5%,34.9655353,127.5682078,https://thesool.com/wp-content/uploads/2020/02/광양생막걸리골드.jpg,
전라남도,꿀막걸리,8%,35.345069,126.8125337,https://thesool.com/wp-content/uploads/2019/01/청산녹수_꿀막걸리.jpg,http://www.bluegreenkorea.co.kr
전라남도,대잎술,12%,35.366352,126.9852966,https://thesool.com/wp-content/uploads/2019/09/대잎술-1.jpg,http://www.chusungju.co.kr
전라남도,대통주,11%,35.366352,126.9852966,https://thesool.com/wp-content/uploads/2017/11/43.jpg,http://www.chusungju.co.kr
전라남도,명품홍주,38,34.5521891,126.3034793,https://thesool.com/wp-content/uploads/2019/09/그림11.png,http://www.e-hongju.co.kr
전라남도,병영설성사또,40%,34.7161058,126.8148258,https://thesool.com/wp-content/uploads/2017/12/115.jpg,www.byjujo.co.kr
전라남도,사미인주,8%,35.345069,126.8125337,https://thesool.com/wp-content/uploads/2017/12/사미인주_누끼.jpg,http://www.bluegreenkorea.co.kr
전라남도,생탁주,6%,35.345069,126.8125337,https://thesool.com/wp-content/uploads/2019/01/청산녹수_생탁주.jpg,http://www.bluegreenkorea.co.kr
전라남도,유자향주,6%,34.5744068,127.2396217,https://thesool.com/wp-content/uploads/2020/02/유자향주.png,https://smartstore.naver.com/citronmakgeolli
전라남도,"진도홍주 아라리35%, 루비콘40%","아라리35%, 루비콘40%",34.5521891,126.3034793,https://thesool.com/wp-content/uploads/2017/11/138.jpg,http://www.e-hongju.co.kr
전라남도,"진도홍주, 만홍",40%,34.5521891,126.3034793,https://thesool.com/wp-content/uploads/2017/12/117.jpg,http://www.e-hongju.co.kr
전라남도,천지향 증류주,40%,35.1581797,126.5059445,https://thesool.com/wp-content/uploads/2017/12/119.jpg,www.redmountain.co.kr
전라남도,추성주,25%,35.366352,126.9852966,https://thesool.com/wp-content/uploads/2017/12/추성주.jpg,http://www.chusungju.co.kr
전라남도,타미앙스,40%,35.366273,126.9854166,https://thesool.com/wp-content/uploads/2017/12/121.jpg,www.chusungju.co.kr
전라남도,톡 한잔 소주,30%,35.3007609,126.5798253,https://thesool.com/wp-content/uploads/2017/12/114.jpg,
전라남도,티나(TINA),16%,35.3211394,126.9881673,https://thesool.com/wp-content/uploads/2020/05/티나.png,
전라남도,편백숲 산소막걸리,5%,35.345069,126.8125337,https://thesool.com/wp-content/uploads/2019/08/산소막걸리.jpg,http://www.bluegreenkorea.co.kr
전라남도,편백숲 산소막걸리 딸기 스파클링,7%,35.345069,126.8125337,https://thesool.com/wp-content/uploads/2019/08/산소막걸리_딸기.jpg,http://www.bluegreenkorea.co.kr
전라남도,편백숲 산소막걸리 순수령,6%,35.345069,126.8125337,https://thesool.com/wp-content/uploads/2019/08/산소막걸리_순수령.jpg,http://www.bluegreenkorea.co.kr
전라남도,편백숲 산소막걸리 순수령 8%,8%,35.345069,126.8125337,https://thesool.com/wp-content/uploads/2019/08/산소막걸리_순수령8.jpg,http://www.bluegreenkorea.co.kr
전라남도,편백숲 산소막걸리 스파클링,7%,35.345069,126.8125337,https://thesool.com/wp-content/uploads/2019/08/산소막걸리_스파클링.jpg,http://www.bluegreenkorea.co.kr
전라남도,해창 생막걸리,"6%,9%,12%",34.5175598,126.5380129,https://thesool.com/wp-content/uploads/2017/12/해창-6도-2.jpg,https://haechangjujo.modoo.at/
전라북도,고창선운산 땡큐복분자주,13%,35.5264515,126.5618904,https://thesool.com/wp-content/uploads/2019/02/선운산복분자땡큐_고창선운산.jpg,www.sulbox.com
전라북도,고창선운산 땡큐블루베리주,13%,35.5264515,126.5618904,https://thesool.com/wp-content/uploads/2019/02/선운산블루베리땡큐_고창선운산.jpg,www.sulbox.com
전라북도,고창선운산 복분자주 특1호,15%,35.5264515,126.5618904,https://thesool.com/wp-content/uploads/2019/02/선운산_복분자특1호.jpg,www.sulbox.com
전라북도,무주구천동머루와인,12%,35.8148416,127.6305736,https://thesool.com/wp-content/uploads/2018/10/41_머루와인.jpg,meorusove.modoo.at
전라북도,무주구천동산머루주,16%,35.8148416,127.6305736,https://thesool.com/wp-content/uploads/2018/10/42_산머루주.jpg,meorusove.modoo.at
전라북도,부안참뽕막걸리,6%,35.7394383,126.7216279,https://thesool.com/wp-content/uploads/2018/10/44_참뽕.jpg,dongjinwine.modoo.at
전라북도,부안참뽕와인,13%,35.7394383,126.7216279,https://thesool.com/wp-content/uploads/2018/10/45_참뽕와인.jpg,dongjinwine.modoo.at
전라북도,송명섭 막걸리,6%,35.6515794,126.945037,https://thesool.com/wp-content/uploads/2019/04/송명섭막걸리-1.jpg,http://www.태인양조장.com/
전라북도,야관문막걸리,6%,35.4369968,127.5240118,https://thesool.com/wp-content/uploads/2019/09/운봉주조_야관문막걸리.jpg,https://herbsul.modoo.at/
전라북도,죽력고,32%,35.6515794,126.945037,https://thesool.com/wp-content/uploads/2019/04/죽력고.jpg,http://www.태인양조장.com/
전라북도,죽력고,32%,35.6515794,126.945037,https://thesool.com/wp-content/uploads/2017/12/116.jpg,http://www.태인양조장.com/
